                    Logit Regression Results                   
Dep. Variable:,frisked         ,  No. Observations:  ,   298   
Model:        ,Logit           ,  Df Residuals:      ,   279   
Method:       ,MLE             ,  Df Model:          ,    18   
Date:         ,Thu, 03 Dec 2015,  Pseudo R-squ.:     ,0.2089   
Time:         ,14:01:10        ,  Log-Likelihood:    , -142.37 
converged:    ,False           ,  LL-Null:           , -179.96 
              ,                ,  LLR p-value:       ,5.884e-09
         ,   coef   , std err ,    z    ,P>|z| , [95.0% Conf. Int.]
othpers  ,    1.2203,    0.323,    3.773, 0.000,    0.586     1.854
cs_objcs ,    0.0512,    0.717,    0.071, 0.943,   -1.354     1.457
cs_descr ,    0.4426,    0.399,    1.111, 0.267,   -0.338     1.224
cs_casng ,   -0.2626,    0.453,   -0.580, 0.562,   -1.150     0.625
cs_lkout ,   -0.8305,    0.669,   -1.242, 0.214,   -2.141     0.480
cs_cloth ,    3.7469,    1.141,    3.284, 0.001,    1.511     5.983
cs_drgtr ,    1.8984,    0.884,    2.147, 0.032,    0.166     3.631
cs_furtv ,    1.1219,    0.452,    2.481, 0.013,    0.236     2.008
cs_vcrim ,    0.9466,    0.706,    1.342, 0.180,   -0.436     2.329
cs_bulge ,    1.2767,    0.752,    1.697, 0.090,   -0.198     2.751
cs_other ,    1.0251,    0.389,    2.634, 0.008,    0.262     1.788
race_A   ,    0.0577,      nan,      nan,   nan,      nan       nan
race_B   ,    0.1131,      nan,      nan,   nan,      nan       nan
race_I   ,  -28.4978,      nan,      nan,   nan,      nan       nan
race_P   ,    0.8319,      nan,      nan,   nan,      nan       nan
race_Q   ,    0.6733,      nan,      nan,   nan,      nan       nan
race_U   ,   24.8729,      nan,      nan,   nan,      nan       nan
race_W   ,    0.7407,      nan,      nan,   nan,      nan       nan
sex_0    ,   -0.4411,    0.468,   -0.943, 0.346,   -1.358     0.476
intercept,   -1.2082,      nan,      nan,   nan,      nan       nan
